survived,pclass,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,sex_male,embarked_Q,embarked_S
1,3,21.0,0,0,7.65,Third,woman,False,,Southampton,yes,True,False,False,True
1,3,28.0,0,0,7.775,Third,man,True,,Southampton,yes,True,True,False,True
0,3,38.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
1,3,28.0,1,0,24.15,Third,woman,False,,Queenstown,yes,False,False,True,False
0,1,47.0,0,0,52.0,First,man,True,C,Southampton,no,True,True,False,True
0,3,14.5,1,0,14.4542,Third,child,False,,Cherbourg,no,False,False,False,False
0,3,22.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,20.0,1,0,9.825,Third,woman,False,,Southampton,no,False,False,False,True
0,3,17.0,0,0,14.4583,Third,woman,False,,Cherbourg,no,True,False,False,False
0,3,21.0,0,0,7.925,Third,man,True,,Southampton,no,True,True,False,True
0,3,70.5,0,0,7.75,Third,man,True,,Queenstown,no,True,True,True,False
0,2,29.0,1,0,21.0,Second,man,True,,Southampton,no,False,True,False,True
0,3,2.0,4,2,31.275,Third,child,False,,Southampton,no,False,False,False,True
0,3,28.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,2,32.5,1,0,30.0708,Second,man,True,,Cherbourg,no,False,True,False,False
1,2,32.5,0,0,13.0,Second,woman,False,E,Southampton,yes,True,False,False,True
1,3,12.0,1,0,11.2417,Third,child,False,,Cherbourg,yes,False,True,False,False
0,3,28.0,0,0,7.75,Third,man,True,,Queenstown,no,True,True,True,False
1,3,24.0,0,0,7.1417,Third,man,True,,Southampton,yes,True,True,False,True
1,3,28.0,1,1,22.3583,Third,woman,False,F,Cherbourg,yes,False,False,False,False
0,3,45.0,0,0,6.975,Third,man,True,,Southampton,no,True,True,False,True
0,3,33.0,0,0,7.8958,Third,man,True,,Cherbourg,no,True,True,False,False
0,3,20.0,0,0,7.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,47.0,1,0,14.5,Third,woman,False,,Southampton,no,False,False,False,True
1,2,29.0,1,0,26.0,Second,woman,False,,Southampton,yes,False,False,False,True
0,2,25.0,0,0,13.0,Second,man,True,,Southampton,no,True,True,False,True
0,2,23.0,0,0,15.0458,Second,man,True,,Cherbourg,no,True,True,False,False
1,1,19.0,0,2,26.2833,First,woman,False,D,Southampton,yes,False,False,False,True
0,1,37.0,1,0,53.1,First,man,True,C,Southampton,no,False,True,False,True
0,3,16.0,0,0,9.2167,Third,man,True,,Southampton,no,True,True,False,True
0,3,28.0,0,2,15.2458,Third,woman,False,,Cherbourg,no,False,False,False,False
1,3,22.0,0,0,7.75,Third,woman,False,,Southampton,yes,True,False,False,True
1,3,24.0,1,0,15.85,Third,woman,False,,Southampton,yes,False,False,False,True
0,3,19.0,0,0,6.75,Third,man,True,,Queenstown,no,True,True,True,False
0,2,18.0,0,0,11.5,Second,man,True,,Southampton,no,True,True,False,True
0,2,19.0,1,1,36.75,Second,man,True,,Southampton,no,False,True,False,True
1,3,27.0,0,0,7.7958,Third,man,True,,Southampton,yes,True,True,False,True
0,3,9.0,2,2,34.375,Third,child,False,,Southampton,no,False,False,False,True
0,2,36.5,0,2,26.0,Second,man,True,F,Southampton,no,False,True,False,True
0,2,42.0,0,0,13.0,Second,man,True,,Southampton,no,True,True,False,True
0,2,51.0,0,0,12.525,Second,man,True,,Southampton,no,True,True,False,True
0,3,55.5,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,40.5,0,2,14.5,Third,man,True,,Southampton,no,False,True,False,True
0,3,28.0,0,0,7.3125,Third,man,True,,Southampton,no,True,True,False,True
0,1,51.0,0,1,61.3792,First,man,True,,Cherbourg,no,False,True,False,False
1,3,16.0,0,0,7.7333,Third,woman,False,,Queenstown,yes,True,False,True,False
0,3,30.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,28.0,0,0,8.6625,Third,man,True,,Southampton,no,True,True,False,True
0,3,44.0,0,1,16.1,Third,man,True,,Southampton,no,False,True,False,True
1,2,40.0,0,0,15.75,Second,woman,False,,Southampton,yes,True,False,False,True
0,3,26.0,0,0,7.775,Third,man,True,,Southampton,no,True,True,False,True
0,3,17.0,0,0,8.6625,Third,man,True,,Southampton,no,True,True,False,True
0,3,1.0,4,1,39.6875,Third,child,False,,Southampton,no,False,True,False,True
1,3,9.0,0,2,20.525,Third,child,False,,Southampton,yes,False,True,False,True
1,1,28.0,0,1,55.0,First,woman,False,E,Southampton,yes,False,False,False,True
0,3,45.0,1,4,27.9,Third,woman,False,,Southampton,no,False,False,False,True
0,1,28.0,0,0,25.925,First,man,True,,Southampton,no,True,True,False,True
0,3,28.0,0,0,56.4958,Third,man,True,,Southampton,no,True,True,False,True
0,1,61.0,0,0,33.5,First,man,True,B,Southampton,no,True,True,False,True
0,3,4.0,4,1,29.125,Third,child,False,,Queenstown,no,False,True,True,False
1,3,1.0,1,1,11.1333,Third,child,False,,Southampton,yes,False,False,False,True
0,3,21.0,0,0,7.925,Third,man,True,,Southampton,no,True,True,False,True
0,1,56.0,0,0,30.6958,First,man,True,A,Cherbourg,no,True,True,False,False
0,3,18.0,1,1,7.8542,Third,man,True,,Southampton,no,False,True,False,True
0,3,28.0,3,1,25.4667,Third,man,True,,Southampton,no,False,True,False,True
0,1,50.0,0,0,28.7125,First,woman,False,C,Cherbourg,no,True,False,False,False
0,2,30.0,0,0,13.0,Second,man,True,,Southampton,no,True,True,False,True
0,3,36.0,0,0,0.0,Third,man,True,,Southampton,no,True,True,False,True
0,2,28.0,0,0,15.05,Second,man,True,,Cherbourg,no,True,True,False,False
0,3,9.0,4,2,31.3875,Third,child,False,,Southampton,no,False,True,False,True
1,2,1.0,2,1,39.0,Second,child,False,F,Southampton,yes,False,True,False,True
1,3,4.0,0,2,22.025,Third,child,False,,Southampton,yes,False,False,False,True
0,1,28.0,0,0,50.0,First,man,True,A,Southampton,no,True,True,False,True
1,3,28.0,1,0,15.5,Third,woman,False,,Queenstown,yes,False,False,True,False
1,1,45.0,0,0,26.55,First,man,True,,Southampton,yes,True,True,False,True
0,3,40.0,1,1,15.5,Third,man,True,,Queenstown,no,False,True,True,False
0,3,36.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
1,2,32.0,0,0,13.0,Second,woman,False,,Southampton,yes,True,False,False,True
0,2,19.0,0,0,13.0,Second,man,True,,Southampton,no,True,True,False,True
1,3,19.0,1,0,7.8542,Third,woman,False,,Southampton,yes,False,False,False,True
1,2,3.0,1,1,26.0,Second,child,False,F,Southampton,yes,False,True,False,True
1,1,44.0,0,0,27.7208,First,woman,False,B,Cherbourg,yes,True,False,False,False
0,3,28.0,0,0,7.75,Third,man,True,,Queenstown,no,True,True,True,False
0,3,42.0,0,1,8.4042,Third,man,True,,Southampton,no,False,True,False,True
1,3,28.0,0,0,7.75,Third,woman,False,,Queenstown,yes,True,False,True,False
0,2,24.0,0,0,13.0,Second,woman,False,,Southampton,no,True,False,False,True
0,3,28.0,0,0,9.5,Third,man,True,,Southampton,no,True,True,False,True
0,3,34.0,0,0,6.4958,Third,man,True,,Southampton,no,True,True,False,True
0,3,45.5,0,0,7.225,Third,man,True,,Cherbourg,no,True,True,False,False
1,3,18.0,0,0,8.05,Third,man,True,,Southampton,yes,True,True,False,True
0,3,2.0,0,1,10.4625,Third,child,False,G,Southampton,no,False,False,False,True
0,3,32.0,1,0,15.85,Third,man,True,,Southampton,no,False,True,False,True
1,3,26.0,0,0,18.7875,Third,man,True,,Cherbourg,yes,True,True,False,False
1,3,16.0,0,0,7.75,Third,woman,False,,Queenstown,yes,True,False,True,False
1,1,40.0,0,0,31.0,First,man,True,A,Cherbourg,yes,True,True,False,False
0,3,24.0,0,0,7.05,Third,man,True,,Southampton,no,True,True,False,True
1,2,35.0,0,0,21.0,Second,woman,False,,Southampton,yes,True,False,False,True
0,3,22.0,0,0,7.25,Third,man,True,,Southampton,no,True,True,False,True
0,2,30.0,0,0,13.0,Second,man,True,,Southampton,no,True,True,False,True
0,3,28.0,1,0,7.75,Third,man,True,,Queenstown,no,False,True,True,False
1,3,27.0,0,0,7.925,Third,woman,False,,Southampton,yes,True,False,False,True
0,2,42.0,1,0,27.0,Second,man,True,,Southampton,no,False,True,False,True
0,2,30.0,0,0,10.5,Second,man,True,,Southampton,no,True,True,False,True
1,3,16.0,0,0,8.05,Third,man,True,,Southampton,yes,True,True,False,True
0,2,27.0,0,0,13.0,Second,man,True,,Southampton,no,True,True,False,True
0,3,51.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,28.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
0,3,22.0,0,0,9.35,Third,man,True,,Southampton,no,True,True,False,True
1,2,19.0,0,0,10.5,Second,man,True,,Southampton,yes,True,True,False,True
0,3,20.5,0,0,7.25,Third,man,True,,Southampton,no,True,True,False,True
0,2,18.0,0,0,13.0,Second,man,True,,Southampton,no,True,True,False,True
0,3,28.0,3,1,25.4667,Third,woman,False,,Southampton,no,False,False,False,True
0,3,29.0,0,0,7.775,Third,man,True,,Southampton,no,True,True,False,True
0,2,59.0,0,0,13.5,Second,man,True,,Southampton,no,True,True,False,True
1,3,5.0,4,2,31.3875,Third,child,False,,Southampton,yes,False,False,False,True
0,2,24.0,0,0,10.5,Second,man,True,,Southampton,no,True,True,False,True
0,3,28.0,0,0,7.55,Third,woman,False,,Southampton,no,True,False,False,True
0,2,44.0,1,0,26.0,Second,man,True,,Southampton,no,False,True,False,True
1,2,8.0,0,2,26.25,Second,child,False,,Southampton,yes,False,False,False,True
0,2,19.0,0,0,10.5,Second,man,True,,Southampton,no,True,True,False,True
0,2,33.0,0,0,12.275,Second,man,True,,Southampton,no,True,True,False,True
0,3,28.0,1,0,14.4542,Third,woman,False,,Cherbourg,no,False,False,False,False
1,3,28.0,1,0,15.5,Third,woman,False,,Queenstown,yes,False,False,True,False
0,2,29.0,0,0,10.5,Second,man,True,,Southampton,no,True,True,False,True
0,3,22.0,0,0,7.125,Third,man,True,,Southampton,no,True,True,False,True
0,3,30.0,0,0,7.225,Third,man,True,,Cherbourg,no,True,True,False,False
0,3,25.0,0,0,7.775,Third,woman,False,,Southampton,no,True,False,False,True
1,2,24.0,0,2,14.5,Second,woman,False,,Southampton,yes,False,False,False,True
1,1,37.0,1,1,52.5542,First,man,True,D,Southampton,yes,False,True,False,True
0,2,54.0,1,0,26.0,Second,man,True,,Southampton,no,False,True,False,True
0,3,28.0,0,0,7.25,Third,man,True,,Southampton,no,True,True,False,True
0,3,29.0,1,1,10.4625,Third,woman,False,G,Southampton,no,False,False,False,True
0,1,62.0,0,0,26.55,First,man,True,C,Southampton,no,True,True,False,True
0,3,30.0,1,0,16.1,Third,man,True,,Southampton,no,False,True,False,True
0,3,41.0,0,2,20.2125,Third,woman,False,,Southampton,no,False,False,False,True
1,3,29.0,0,2,15.2458,Third,woman,False,,Cherbourg,yes,False,False,False,False
1,2,50.0,0,1,26.0,Second,woman,False,,Southampton,yes,False,False,False,True
0,3,28.0,0,0,7.75,Third,man,True,,Queenstown,no,True,True,True,False
1,3,3.0,4,2,31.3875,Third,child,False,,Southampton,yes,False,True,False,True
0,1,40.0,0,0,0.0,First,man,True,B,Southampton,no,True,True,False,True
0,3,28.0,0,0,7.75,Third,woman,False,,Queenstown,no,True,False,True,False
0,2,36.0,0,0,10.5,Second,man,True,,Southampton,no,True,True,False,True
0,3,16.0,4,1,39.6875,Third,man,True,,Southampton,no,False,True,False,True
1,3,25.0,1,0,7.775,Third,man,True,,Southampton,yes,False,True,False,True
0,1,28.0,0,0,31.0,First,man,True,,Southampton,no,True,True,False,True
1,3,25.0,0,0,0.0,Third,man,True,,Southampton,yes,True,True,False,True
1,2,41.0,0,1,19.5,Second,woman,False,,Southampton,yes,False,False,False,True
0,1,37.0,0,1,29.7,First,man,True,C,Cherbourg,no,False,True,False,False
1,3,28.0,0,0,7.75,Third,woman,False,,Queenstown,yes,True,False,True,False
0,3,45.0,0,0,7.75,Third,woman,False,,Southampton,no,True,False,False,True
0,2,28.0,0,0,0.0,Second,man,True,,Southampton,no,True,True,False,True
0,3,7.0,4,1,29.125,Third,child,False,,Queenstown,no,False,True,True,False
1,3,35.0,1,1,20.25,Third,woman,False,,Southampton,yes,False,False,False,True
0,3,65.0,0,0,7.75,Third,man,True,,Queenstown,no,True,True,True,False
0,3,28.0,0,0,7.8542,Third,man,True,,Southampton,no,True,True,False,True
0,3,16.0,0,0,9.5,Third,man,True,,Southampton,no,True,True,False,True
1,3,19.0,0,0,8.05,Third,man,True,,Southampton,yes,True,True,False,True
0,1,28.0,0,0,26.0,First,man,True,A,Southampton,no,True,True,False,True
0,3,33.0,0,0,8.6625,Third,man,True,,Cherbourg,no,True,True,False,False
1,3,30.0,0,0,9.5,Third,man,True,,Southampton,yes,True,True,False,True
0,3,22.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
1,2,42.0,0,0,13.0,Second,man,True,,Southampton,yes,True,True,False,True
1,3,22.0,0,0,7.75,Third,woman,False,,Queenstown,yes,True,False,True,False
0,2,36.0,0,0,12.875,Second,man,True,D,Cherbourg,no,True,True,False,False
0,3,24.0,0,0,8.85,Third,woman,False,,Southampton,no,True,False,False,True
0,3,24.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
0,1,28.0,0,0,27.7208,First,man,True,,Cherbourg,no,True,True,False,False
0,3,23.5,0,0,7.2292,Third,man,True,,Cherbourg,no,True,True,False,False
1,1,28.0,0,0,30.5,First,man,True,C,Southampton,yes,True,True,False,True
1,3,28.0,0,0,7.75,Third,woman,False,,Queenstown,yes,True,False,True,False
1,3,28.0,2,0,23.25,Third,man,True,,Queenstown,yes,False,True,True,False
0,3,19.0,0,0,0.0,Third,man,True,,Southampton,no,True,True,False,True
1,2,28.0,0,0,12.35,Second,woman,False,E,Queenstown,yes,True,False,True,False
0,3,28.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,2,30.0,1,0,24.0,Second,man,True,,Cherbourg,no,False,True,False,False
1,1,30.0,0,0,56.9292,First,woman,False,E,Cherbourg,yes,True,False,False,False
0,2,26.0,1,1,26.0,Second,woman,False,,Southampton,no,False,False,False,True
0,3,28.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
0,2,43.0,1,1,26.25,Second,man,True,,Southampton,no,False,True,False,True
1,3,26.0,0,0,7.8542,Third,woman,False,,Southampton,yes,True,False,False,True
1,2,24.0,1,0,26.0,Second,woman,False,,Southampton,yes,False,False,False,True
0,2,54.0,0,0,14.0,Second,man,True,,Southampton,no,True,True,False,True
0,3,22.0,0,0,7.25,Third,man,True,,Southampton,no,True,True,False,True
0,3,27.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
1,2,30.0,0,0,12.35,Second,woman,False,,Queenstown,yes,True,False,True,False
1,2,22.0,1,1,29.0,Second,woman,False,,Southampton,yes,False,False,False,True
0,3,61.0,0,0,6.2375,Third,man,True,,Southampton,no,True,True,False,True
1,2,36.0,0,0,13.0,Second,woman,False,D,Southampton,yes,True,False,False,True
1,3,31.0,1,1,20.525,Third,woman,False,,Southampton,yes,False,False,False,True
1,1,16.0,0,1,57.9792,First,woman,False,B,Cherbourg,yes,False,False,False,False
1,3,28.0,2,0,23.25,Third,woman,False,,Queenstown,yes,False,False,True,False
0,1,45.5,0,0,28.5,First,man,True,C,Southampton,no,True,True,False,True
0,3,16.0,2,0,18.0,Third,man,True,,Southampton,no,False,True,False,True
0,3,28.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
1,3,45.0,0,0,8.05,Third,man,True,,Southampton,yes,True,True,False,True
0,1,45.0,0,0,35.5,First,man,True,,Southampton,no,True,True,False,True
1,2,2.0,1,1,26.0,Second,child,False,F,Southampton,yes,False,True,False,True
0,2,28.0,0,0,13.0,Second,man,True,,Southampton,no,True,True,False,True
0,2,25.0,0,0,13.0,Second,man,True,,Southampton,no,True,True,False,True
0,2,36.0,0,0,13.0,Second,man,True,,Southampton,no,True,True,False,True
1,2,24.0,0,0,13.0,Second,woman,False,F,Southampton,yes,True,False,False,True
1,2,40.0,0,0,13.0,Second,woman,False,,Southampton,yes,True,False,False,True
1,3,28.0,1,0,16.1,Third,woman,False,,Southampton,yes,False,False,False,True
1,3,3.0,1,1,15.9,Third,child,False,,Southampton,yes,False,True,False,True
0,3,42.0,0,0,8.6625,Third,man,True,,Southampton,no,True,True,False,True
0,3,23.0,0,0,9.225,Third,man,True,,Southampton,no,True,True,False,True
0,1,28.0,0,0,35.0,First,man,True,C,Southampton,no,True,True,False,True
0,3,15.0,1,1,7.2292,Third,child,False,,Cherbourg,no,False,True,False,False
0,3,25.0,1,0,17.8,Third,man,True,,Southampton,no,False,True,False,True
0,3,28.0,0,0,7.225,Third,man,True,,Cherbourg,no,True,True,False,False
0,3,28.0,0,0,9.5,Third,man,True,,Southampton,no,True,True,False,True
1,1,22.0,0,1,55.0,First,woman,False,E,Southampton,yes,False,False,False,True
0,2,38.0,0,0,13.0,Second,woman,False,,Southampton,no,True,False,False,True
1,3,28.0,0,0,7.8792,Third,woman,False,,Queenstown,yes,True,False,True,False
1,3,28.0,0,0,7.8792,Third,woman,False,,Queenstown,yes,True,False,True,False
0,3,40.0,1,4,27.9,Third,man,True,,Southampton,no,False,True,False,True
0,2,29.0,1,0,27.7208,Second,man,True,,Cherbourg,no,False,True,False,False
0,3,45.0,0,1,14.4542,Third,woman,False,,Cherbourg,no,False,False,False,False
0,3,35.0,0,0,7.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,28.0,1,0,15.5,Third,man,True,,Queenstown,no,False,True,True,False
0,3,30.0,0,0,7.25,Third,man,True,,Southampton,no,True,True,False,True
1,3,28.0,0,0,7.2292,Third,woman,False,,Cherbourg,yes,True,False,False,False
1,3,28.0,0,0,7.75,Third,woman,False,,Queenstown,yes,True,False,True,False
1,1,25.0,1,0,55.4417,First,man,True,E,Cherbourg,yes,False,True,False,False
0,3,18.0,1,0,6.4958,Third,man,True,,Southampton,no,False,True,False,True
0,3,19.0,0,0,8.05,Third,man,True,,Southampton,no,True,True,False,True
0,3,3.0,3,1,21.075,Third,child,False,,Southampton,no,False,False,False,True
1,3,22.0,0,0,7.25,Third,woman,False,,Southampton,yes,True,False,False,True
0,3,20.0,0,0,4.0125,Third,man,True,,Cherbourg,no,True,True,False,False
0,3,19.0,0,0,7.775,Third,man,True,,Southampton,no,True,True,False,True
1,3,1.0,0,2,15.7417,Third,child,False,,Cherbourg,yes,False,False,False,False
0,3,32.0,0,0,7.925,Third,man,True,,Southampton,no,True,True,False,True
1,1,35.0,1,0,52.0,First,woman,False,,Southampton,yes,False,False,False,True
0,3,28.0,0,0,7.8958,Third,man,True,,Southampton,no,True,True,False,True
0,3,1.0,5,2,46.9,Third,child,False,,Southampton,no,False,True,False,True
1,2,36.0,0,0,13.0,Second,woman,False,,Southampton,yes,True,False,False,True
0,3,28.0,0,0,7.7292,Third,man,True,,Queenstown,no,True,True,True,False
1,2,17.0,0,0,12.0,Second,woman,False,,Cherbourg,yes,True,False,False,False
1,3,21.0,0,0,7.7958,Third,man,True,,Southampton,yes,True,True,False,True
0,3,28.0,2,0,7.925,Third,man,True,,Southampton,no,False,True,False,True
1,3,24.0,0,2,16.7,Third,woman,False,G,Southampton,yes,False,False,False,True
0,3,22.0,0,0,7.7958,Third,man,True,,Southampton,no,True,True,False,True
0,3,31.0,0,0,7.8542,Third,woman,False,,Southampton,no,True,False,False,True
0,2,46.0,0,0,26.0,Second,man,True,,Southampton,no,True,True,False,True
0,2,23.0,0,0,10.5,Second,man,True,,Southampton,no,True,True,False,True
1,2,28.0,0,0,12.65,Second,woman,False,,Southampton,yes,True,False,False,True
1,3,39.0,0,0,7.925,Third,man,True,,Southampton,yes,True,True,False,True
